data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer1,48,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9933028817176819
butterfly,layer1,48,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932999014854431
butterfly,layer1,48,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9932900071144104
butterfly,layer1,48,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9916337132453918
butterfly,layer1,64,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9933035969734192
butterfly,layer1,64,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9933035969734192
butterfly,layer1,64,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9933035969734192
butterfly,layer1,64,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9933035969734192
butterfly,layer1,1,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer1,1,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer1,1,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer1,1,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer1,16,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9615516662597656
butterfly,layer1,16,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9498377442359924
butterfly,layer1,16,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9210137128829956
butterfly,layer1,16,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.6261047720909119
butterfly,layer1,32,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9899594187736511
butterfly,layer1,32,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9849559664726257
butterfly,layer1,32,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9749315977096558
butterfly,layer1,32,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9232134222984314
butterfly,layer1,48,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9933027625083923
butterfly,layer1,48,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9932986497879028
butterfly,layer1,48,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9932955503463745
butterfly,layer1,48,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9916337132453918
butterfly,layer1,64,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9933035969734192
butterfly,layer1,64,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9933035969734192
butterfly,layer1,64,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9933035969734192
butterfly,layer1,64,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9933035969734192
butterfly,layer1,1,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer1,1,GradPCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer1,1,PRCASortAbs,SelectNSamples(N=∞),select-all,0.5
butterfly,layer1,1,PRCAPosDef,SelectNSamples(N=∞),select-all,0.5
butterfly,layer1,16,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9581881165504456
butterfly,layer1,16,PCA,SelectNSamples(N=∞),select-all,0.9548652172088623
butterfly,layer1,16,PRCASortAbs,SelectNSamples(N=∞),select-all,0.934306263923645
butterfly,layer1,16,GradPCA,SelectNSamples(N=∞),select-all,0.6487176418304443
butterfly,layer1,32,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9916254878044128
