data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer3,1,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,1,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,1,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,1,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,16,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.8372460007667542
butterfly,layer3,16,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.7797513008117676
butterfly,layer3,16,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.7191110253334045
butterfly,layer3,16,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.6231918334960938
butterfly,layer3,32,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9714611172676086
butterfly,layer3,32,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9686939716339111
butterfly,layer3,32,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9646108746528625
butterfly,layer3,32,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9537752270698547
butterfly,layer3,48,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9843418598175049
butterfly,layer3,48,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9812186360359192
butterfly,layer3,48,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9798897504806519
butterfly,layer3,48,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9679609537124634
butterfly,layer3,64,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9916099309921265
butterfly,layer3,64,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9881446957588196
butterfly,layer3,64,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9879683256149292
butterfly,layer3,64,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9781548380851746
