data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,SelectNSamples(N=∞),select-all,0.9927067160606384
butterfly,layer4,1,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,1,PRCASortAbs,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,1,PRCAPosDef,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,16,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9932816624641418
butterfly,layer4,16,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9931924343109131
butterfly,layer4,16,GradPCA,SelectNSamples(N=∞),select-all,0.9931239485740662
butterfly,layer4,16,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,32,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9935235977172852
butterfly,layer4,32,GradPCA,SelectNSamples(N=∞),select-all,0.9933378100395203
butterfly,layer4,32,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9930333495140076
butterfly,layer4,32,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer4,48,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9940159320831299
butterfly,layer4,48,GradPCA,SelectNSamples(N=∞),select-all,0.9937390089035034
butterfly,layer4,48,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9936341643333435
butterfly,layer4,48,PCA,SelectNSamples(N=∞),select-all,0.6299811601638794
butterfly,layer4,64,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9941198229789734
butterfly,layer4,64,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9939990043640137
butterfly,layer4,64,GradPCA,SelectNSamples(N=∞),select-all,0.9939442873001099
butterfly,layer4,64,PCA,SelectNSamples(N=∞),select-all,0.8166159391403198
