data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9926197528839111
butterfly,layer4,1,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.5
butterfly,layer4,1,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.5
butterfly,layer4,1,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.5
butterfly,layer4,16,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.994211733341217
butterfly,layer4,16,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9939794540405273
butterfly,layer4,16,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9939075112342834
butterfly,layer4,16,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.5116264224052429
butterfly,layer4,32,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9946630001068115
butterfly,layer4,32,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9946565628051758
butterfly,layer4,32,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9945940375328064
butterfly,layer4,32,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.8049396872520447
butterfly,layer4,48,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9947845935821533
butterfly,layer4,48,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9931228756904602
butterfly,layer4,48,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9930815100669861
butterfly,layer4,48,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9548343420028687
butterfly,layer4,64,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9931827187538147
butterfly,layer4,64,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9931737184524536
butterfly,layer4,64,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9931579828262329
butterfly,layer4,64,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.15, 8.27])",select-opposite-side-50,0.9831854104995728
