data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer3,1,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer3,1,GradPCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer3,1,PRCASortAbs,SelectNSamples(N=∞),select-all,0.5
butterfly,layer3,1,PRCAPosDef,SelectNSamples(N=∞),select-all,0.5
butterfly,layer3,16,PRCASortAbs,SelectNSamples(N=∞),select-all,0.6011831164360046
butterfly,layer3,16,GradPCA,SelectNSamples(N=∞),select-all,0.5049999952316284
butterfly,layer3,16,PRCAPosDef,SelectNSamples(N=∞),select-all,0.5016666650772095
butterfly,layer3,16,PCA,SelectNSamples(N=∞),select-all,0.5
butterfly,layer3,32,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9322083592414856
butterfly,layer3,32,GradPCA,SelectNSamples(N=∞),select-all,0.8748979568481445
butterfly,layer3,32,PRCAPosDef,SelectNSamples(N=∞),select-all,0.84661465883255
butterfly,layer3,32,PCA,SelectNSamples(N=∞),select-all,0.7549883723258972
butterfly,layer3,48,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9730532169342041
butterfly,layer3,48,GradPCA,SelectNSamples(N=∞),select-all,0.9714202880859375
butterfly,layer3,48,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9616041779518127
butterfly,layer3,48,PCA,SelectNSamples(N=∞),select-all,0.9431970715522766
butterfly,layer3,64,PRCASortAbs,SelectNSamples(N=∞),select-all,0.9798493981361389
butterfly,layer3,64,GradPCA,SelectNSamples(N=∞),select-all,0.9781776666641235
butterfly,layer3,64,PRCAPosDef,SelectNSamples(N=∞),select-all,0.9749538898468018
butterfly,layer3,64,PCA,SelectNSamples(N=∞),select-all,0.9749276638031006
