data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer3,1,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer3,1,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer3,1,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer3,1,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer3,16,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5615208745002747
butterfly,layer3,16,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.559913694858551
butterfly,layer3,16,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5221734046936035
butterfly,layer3,16,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5083033442497253
butterfly,layer3,32,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.8720079064369202
butterfly,layer3,32,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.8025408387184143
butterfly,layer3,32,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.7095444202423096
butterfly,layer3,32,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5083333253860474
butterfly,layer3,48,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9706507325172424
butterfly,layer3,48,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9571331143379211
butterfly,layer3,48,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.915004312992096
butterfly,layer3,48,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.6082796454429626
butterfly,layer3,64,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9778158664703369
butterfly,layer3,64,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9758991003036499
butterfly,layer3,64,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9689835906028748
butterfly,layer3,64,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9543665647506714
