data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9860385656356812
butterfly,layer4,1,PCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9083943963050842
butterfly,layer4,1,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.586891770362854
butterfly,layer4,1,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.5
butterfly,layer4,16,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9958372712135315
butterfly,layer4,16,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9957451224327087
butterfly,layer4,16,GradPCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9929230809211731
butterfly,layer4,16,PCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9927126169204712
butterfly,layer4,32,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9944509267807007
butterfly,layer4,32,PCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9940892457962036
butterfly,layer4,32,GradPCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9930258393287659
butterfly,layer4,32,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9929332733154297
butterfly,layer4,48,PCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9945402145385742
butterfly,layer4,48,GradPCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9930683374404907
butterfly,layer4,48,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9930314421653748
butterfly,layer4,48,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9930057525634766
butterfly,layer4,64,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9931374192237854
butterfly,layer4,64,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9931004643440247
butterfly,layer4,64,GradPCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9930978417396545
butterfly,layer4,64,PCA,"SelectNSamples(N=5, total=12812, [-1.64, 4.10])",select-5,0.9930326342582703
