data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9794360995292664
butterfly,layer4,1,PCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9075692296028137
butterfly,layer4,1,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.6097970604896545
butterfly,layer4,1,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.5
butterfly,layer4,16,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9957066774368286
butterfly,layer4,16,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9955249428749084
butterfly,layer4,16,GradPCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9945903420448303
butterfly,layer4,16,PCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9879605174064636
butterfly,layer4,32,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9960951209068298
butterfly,layer4,32,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9960408806800842
butterfly,layer4,32,GradPCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9946248531341553
butterfly,layer4,32,PCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9936611652374268
butterfly,layer4,48,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9961129426956177
butterfly,layer4,48,GradPCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9946526288986206
butterfly,layer4,48,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9946293830871582
butterfly,layer4,48,PCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9922612309455872
butterfly,layer4,64,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9961612224578857
butterfly,layer4,64,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9947603940963745
butterfly,layer4,64,GradPCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.9946752786636353
butterfly,layer4,64,PCA,"SelectNSamples(N=1, total=12812, [-0.49, 3.12])",select-1,0.992659330368042
