data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer1,1,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer1,1,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer1,1,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer1,1,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer1,16,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9445751905441284
butterfly,layer1,16,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9264727830886841
butterfly,layer1,16,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.863313615322113
butterfly,layer1,16,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5131238698959351
butterfly,layer1,32,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9866294264793396
butterfly,layer1,32,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9815736413002014
butterfly,layer1,32,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9782887101173401
butterfly,layer1,32,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9228805303573608
butterfly,layer1,48,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9933016896247864
butterfly,layer1,48,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9933009147644043
butterfly,layer1,48,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9932933449745178
butterfly,layer1,48,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9915781617164612
butterfly,layer1,64,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9933035969734192
butterfly,layer1,64,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9933035969734192
butterfly,layer1,64,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9933034181594849
butterfly,layer1,64,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9933034181594849
