data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer2,1,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer2,1,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer2,1,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer2,1,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5
butterfly,layer2,16,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.6312325596809387
butterfly,layer2,16,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5559477806091309
butterfly,layer2,16,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5377252697944641
butterfly,layer2,16,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.5001509189605713
butterfly,layer2,32,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9415370225906372
butterfly,layer2,32,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9160286784172058
butterfly,layer2,32,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.8879898190498352
butterfly,layer2,32,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.6147086024284363
butterfly,layer2,48,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9832518696784973
butterfly,layer2,48,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9781729578971863
butterfly,layer2,48,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9648929834365845
butterfly,layer2,48,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9570887088775635
butterfly,layer2,64,PRCAPosDef,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9899514317512512
butterfly,layer2,64,PRCASortAbs,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9882662892341614
butterfly,layer2,64,PCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9866014122962952
butterfly,layer2,64,GradPCA,"SelectNSamples(N=1, total=12812, [-0.47, 1.31])",select-1,0.9630314707756042
