data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer3,1,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer3,1,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer3,1,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer3,1,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5
butterfly,layer3,16,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9300792217254639
butterfly,layer3,16,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.7562384009361267
butterfly,layer3,16,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.6816279292106628
butterfly,layer3,16,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.5016666650772095
butterfly,layer3,32,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.975784182548523
butterfly,layer3,32,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9665461182594299
butterfly,layer3,32,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9564021229743958
butterfly,layer3,32,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9198139309883118
butterfly,layer3,48,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9879826307296753
butterfly,layer3,48,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9847868084907532
butterfly,layer3,48,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9732822179794312
butterfly,layer3,48,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9732434153556824
butterfly,layer3,64,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9931809306144714
butterfly,layer3,64,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9882896542549133
butterfly,layer3,64,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9882251620292664
butterfly,layer3,64,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9782651662826538
