data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9844203591346741
butterfly,layer4,1,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.8968608379364014
butterfly,layer4,1,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5899814367294312
butterfly,layer4,1,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer4,16,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9956005215644836
butterfly,layer4,16,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9929535388946533
butterfly,layer4,16,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9904153347015381
butterfly,layer4,16,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9890802502632141
butterfly,layer4,32,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9931116104125977
butterfly,layer4,32,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.992915153503418
butterfly,layer4,32,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.992861807346344
butterfly,layer4,32,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9928265810012817
butterfly,layer4,48,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9931218028068542
butterfly,layer4,48,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9930453896522522
butterfly,layer4,48,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.993033766746521
butterfly,layer4,48,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9927377700805664
butterfly,layer4,64,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9931396842002869
butterfly,layer4,64,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9931311011314392
butterfly,layer4,64,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9931245446205139
butterfly,layer4,64,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9914034605026245
