data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer4,1,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9877403378486633
butterfly,layer4,1,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.8710171580314636
butterfly,layer4,1,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5401478409767151
butterfly,layer4,1,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer4,16,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.995074450969696
butterfly,layer4,16,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9946568012237549
butterfly,layer4,16,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9945986866950989
butterfly,layer4,16,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9944256544113159
butterfly,layer4,32,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.996083676815033
butterfly,layer4,32,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9946473240852356
butterfly,layer4,32,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9930985569953918
butterfly,layer4,32,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.993091344833374
butterfly,layer4,48,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.996445894241333
butterfly,layer4,48,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9931835532188416
butterfly,layer4,48,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9931698441505432
butterfly,layer4,48,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9931420683860779
butterfly,layer4,64,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9932299256324768
butterfly,layer4,64,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9932224154472351
butterfly,layer4,64,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9932197332382202
butterfly,layer4,64,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9932000041007996
